   No.   	Time N (s)	Depth N (µm)	Force N (mN)
  583	  121.415	     0.49762	     0.18445
  584	  121.602	     0.51767	     0.18855
  585	  121.805	     0.53935	     0.18084
  586	  122.007	     0.55974	     0.18681
  587	  122.210	     0.57741	     0.18089
  588	  122.413	     0.59944	     0.17738
  589	  122.616	     0.61763	     0.18130
  590	  122.803	     0.63681	     0.22571
  591	  123.006	     0.65021	     0.40488
  592	  123.209	     0.66206	     0.79882
  593	  123.411	     0.67277	     1.42587
  594	  123.614	     0.68797	     2.22315
  595	  123.801	     0.70275	     3.09845
  596	  124.004	     0.71944	     4.19481
  597	  124.207	     0.73681	     5.30440
  598	  124.410	     0.74950	     6.43377
  599	  124.613	     0.76768	     7.69526
  600	  124.815	     0.78820	     8.88704
  601	  125.003	     0.80819	     9.93791
  602	  125.205	     0.82946	    11.13143
  603	  125.408	     0.84593	    12.20871
  604	  125.611	     0.87313	    13.15021
  605	  125.814	     0.92651	    13.39347
  606	  126.001	     0.95270	    12.75678
  607	  126.204	     0.95547	    12.64737
  608	  126.407	     0.97007	    12.93468
  609	  126.609	     0.97597	    12.72183	21	Unload
  610	  126.812	     0.97195	    11.95452
  611	  127.015	     0.95873	    10.79821
  612	  127.202	     0.94237	     9.61040
  613	  127.405	     0.92327	     8.29326
  614	  127.608	     0.90558	     6.98571
  615	  127.811	     0.88878	     5.76615
  616	  128.013	     0.86717	     4.47675
  617	  128.201	     0.84829	     3.39619
  618	  128.403	     0.83160	     2.22875
  619	  128.606	     0.80503	     1.15184
  620	  128.809	     0.77866	     0.41883
  621	  129.012	     0.74184	     0.18399
  622	  129.215	     0.72114	     0.17985
  623	  129.402	     0.70164	     0.17752
  624	  129.605	     0.68004	     0.17884
  625	  129.807	     0.65997	     0.16890
  626	  130.010	     0.64072	     0.17699
  627	  130.213	     0.62198	     0.17999
  628	  130.416	     0.60007	     0.17806
  629	  130.603	     0.58050	     0.17785
  630	  130.806	     0.56015	     0.17097
  631	  131.009	     0.53980	     0.17315
  632	  131.211	     0.52165	     0.18158
  633	  131.414	     0.50207	     0.17002
  634	  131.601	     0.48187	     0.17591
  635	  131.804	     0.45924	     0.16875
  636	  132.007	     0.44175	     0.17805
  637	  132.210	     0.42218	     0.17664
  638	  132.413	     0.40100	     0.18125
  639	  132.615	     0.38111	     0.17765
  640	  132.803	     0.36013	     0.17578
  641	  133.005	     0.34196	     0.19116
