   No.   	Time N (s)	Depth N (µm)	Force N (mN)
  628	  130.307	     0.58077	     0.01544
  629	  130.510	     0.56263	     0.02003
  630	  130.713	     0.54294	     0.01125
  631	  130.916	     0.52402	     0.01726
  632	  131.103	     0.50252	     0.01782
  633	  131.306	     0.48226	     0.01091
  634	  131.508	     0.46089	     0.01136
  635	  131.711	     0.44180	     0.01273
  636	  131.914	     0.42202	     0.01715
  637	  132.101	     0.40129	     0.01228
  638	  132.304	     0.38051	     0.02616
  639	  132.507	     0.36054	     0.02248
  640	  132.710	     0.34160	     0.01909
  641	  132.912	     0.32233	     0.02420
  642	  133.115	     0.30163	     0.01620
  643	  133.302	     0.28090	     0.02022
  644	  133.505	     0.26432	     0.01591
  645	  133.708	     0.24155	     0.02148
  646	  133.911	     0.22305	     0.02225
  647	  134.114	     0.20200	     0.02517
  648	  134.301	     0.18119	     0.01986
  649	  134.504	     0.15994	     0.02194
  650	  134.706	     0.13998	     0.02307
  651	  134.909	     0.12034	     0.02471
  652	  135.112	     0.10146	     0.02191
  653	  135.315	     0.08078	     0.02387
  654	  135.502	     0.06209	     0.02172
  655	  135.705	     0.04115	     0.02583
  656	  135.908	     0.02033	     0.02505
  657	  136.110	     0.00066	     0.02466
  658	  136.313	     0.01727	     0.02955	22	Load
  659	  136.516	     0.03768	     0.03288
  660	  136.703	     0.05662	     0.02682
  661	  136.906	     0.07797	     0.01988
  662	  137.109	     0.10215	     0.02893
  663	  137.312	     0.11679	     0.03650
  664	  137.514	     0.13884	     0.02814
  665	  137.702	     0.15778	     0.03092
  666	  137.904	     0.17970	     0.03267
  667	  138.107	     0.19767	     0.03292
  668	  138.310	     0.21721	     0.04344
  669	  138.513	     0.23901	     0.03770
  670	  138.716	     0.25919	     0.03455
  671	  138.903	     0.27826	     0.03173
  672	  139.106	     0.29931	     0.03907
  673	  139.308	     0.31948	     0.03818
  674	  139.511	     0.33880	     0.03206
  675	  139.714	     0.35780	     0.03974
